group,id,title_ru,size,directions,images,method,priority,prompt_en,note
tiles,tiles_grass_path_spring,Трава ↔ тропа (spring),16x16 ×16 (Wang),1,1,create-tileset,P1,"top-down tileset: lower 'short northern grass with moss', upper 'packed dirt footpath', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_path_summer,Трава ↔ тропа (summer),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short northern grass with moss', upper 'packed dirt footpath', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_path_autumn,Трава ↔ тропа (autumn),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short northern grass with moss in autumn colours', upper 'packed dirt footpath in autumn colours', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_path_winter,Трава ↔ тропа (winter),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short northern grass with moss covered with snow', upper 'packed dirt footpath covered with snow', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_sand_spring,Трава ↔ сухой песок (spring),16x16 ×16 (Wang),1,1,create-tileset,P1,"top-down tileset: lower 'short northern grass', upper 'pale dry beach sand with shells', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_sand_summer,Трава ↔ сухой песок (summer),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short northern grass', upper 'pale dry beach sand with shells', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_sand_autumn,Трава ↔ сухой песок (autumn),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short northern grass in autumn colours', upper 'pale dry beach sand with shells in autumn colours', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_sand_winter,Трава ↔ сухой песок (winter),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short northern grass covered with snow', upper 'pale dry beach sand with shells covered with snow', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_cliff_spring,Трава ↔ базальтовый обрыв (spring),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short northern grass', upper 'dark basalt cliff rock', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_cliff_summer,Трава ↔ базальтовый обрыв (summer),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short northern grass', upper 'dark basalt cliff rock', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_cliff_autumn,Трава ↔ базальтовый обрыв (autumn),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short northern grass in autumn colours', upper 'dark basalt cliff rock in autumn colours', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_cliff_winter,Трава ↔ базальтовый обрыв (winter),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short northern grass covered with snow', upper 'dark basalt cliff rock covered with snow', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_heather_spring,Трава ↔ вереск (spring),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'lilac heather moorland', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
