group,target,animation,directions,frames,method,priority,prompt_en,note
hero,hero_m,walk,4,6,characters/animations (template),P1,keeper walk,
hero,hero_m,idle,4,6,characters/animations (template),P1,keeper idle,
hero,hero_m,hoe,4,6,characters/animations (v3),P1,keeper hoe,
hero,hero_m,watering can,4,6,characters/animations (v3),P1,keeper watering can,
hero,hero_m,pickaxe,4,6,characters/animations (v3),P2,keeper pickaxe,
hero,hero_m,axe chop,4,6,characters/animations (v3),P2,keeper axe chop,
hero,hero_m,scythe swing,4,6,characters/animations (v3),P2,keeper scythe swing,
hero,hero_m,shovel dig,4,6,characters/animations (v3),P2,keeper shovel dig,
hero,hero_m,fishing cast,4,6,characters/animations (v3),P2,keeper fishing cast,
hero,hero_m,melee attack,4,6,characters/animations (template),P2,keeper melee attack,
hero,hero_m,harpoon shot,4,6,characters/animations (v3),P2,keeper harpoon shot,
hero,hero_m,carry body on shoulder walk,4,6,characters/animations (v3),P2,keeper carry body on shoulder walk,
hero,hero_m,dodge roll,4,6,characters/animations (template),P2,keeper dodge roll,
hero,hero_m,swim,4,6,characters/animations (v3),P2,keeper swim,
hero,hero_m,diving suit walk on seabed,4,6,characters/animations (v3),P2,keeper diving suit walk on seabed,
hero,hero_m,fishing reel fight,4,6,characters/animations (v3),P2,keeper fishing reel fight,
hero,hero_m,eat/drink,1,6,characters/animations (v3),P2,keeper eat/drink,
hero,hero_m,sleep,1,6,characters/animations (v3),P2,keeper sleep,
hero,hero_m,faint,1,6,characters/animations (v3),P2,keeper faint,
hero,hero_m,sit,1,6,characters/animations (v3),P2,keeper sit,
hero,hero_m,rite at stone,1,6,characters/animations (v3),P2,keeper rite at stone,
hero,hero_m,light the lamp,1,6,characters/animations (v3),P2,keeper light the lamp,
hero,hero_m,clean glass,1,6,characters/animations (v3),P2,keeper clean glass,
hero,hero_m,wind mechanism,1,6,characters/animations (v3),P2,keeper wind mechanism,
hero,hero_m,ring bell,1,6,characters/animations (v3),P2,keeper ring bell,
hero,hero_m,pet animal,1,6,characters/animations (v3),P2,keeper pet animal,
hero,hero_m,lift cat,1,6,characters/animations (v3),P2,keeper lift cat,
hero,hero_m,surprised emote,1,6,characters/animations (v3),P2,keeper surprised emote,
hero,hero_m,happy emote,1,6,characters/animations (v3),P2,keeper happy emote,
hero,hero_m,rowing in boat,4,6,characters/animations (v3),P2,keeper rowing,
hero,hero_f,walk,4,6,characters/animations (template),P1,keeper walk,
hero,hero_f,idle,4,6,characters/animations (template),P1,keeper idle,
hero,hero_f,hoe,4,6,characters/animations (v3),P1,keeper hoe,
hero,hero_f,watering can,4,6,characters/animations (v3),P1,keeper watering can,
hero,hero_f,pickaxe,4,6,characters/animations (v3),P2,keeper pickaxe,
hero,hero_f,axe chop,4,6,characters/animations (v3),P2,keeper axe chop,
hero,hero_f,scythe swing,4,6,characters/animations (v3),P2,keeper scythe swing,
hero,hero_f,shovel dig,4,6,characters/animations (v3),P2,keeper shovel dig,
hero,hero_f,fishing cast,4,6,characters/animations (v3),P2,keeper fishing cast,
hero,hero_f,melee attack,4,6,characters/animations (template),P2,keeper melee attack,
hero,hero_f,harpoon shot,4,6,characters/animations (v3),P2,keeper harpoon shot,
hero,hero_f,carry body on shoulder walk,4,6,characters/animations (v3),P2,keeper carry body on shoulder walk,
hero,hero_f,dodge roll,4,6,characters/animations (template),P2,keeper dodge roll,
hero,hero_f,swim,4,6,characters/animations (v3),P2,keeper swim,
hero,hero_f,diving suit walk on seabed,4,6,characters/animations (v3),P2,keeper diving suit walk on seabed,
hero,hero_f,fishing reel fight,4,6,characters/animations (v3),P2,keeper fishing reel fight,
hero,hero_f,eat/drink,1,6,characters/animations (v3),P2,keeper eat/drink,
hero,hero_f,sleep,1,6,characters/animations (v3),P2,keeper sleep,
hero,hero_f,faint,1,6,characters/animations (v3),P2,keeper faint,
hero,hero_f,sit,1,6,characters/animations (v3),P2,keeper sit,
hero,hero_f,rite at stone,1,6,characters/animations (v3),P2,keeper rite at stone,
hero,hero_f,light the lamp,1,6,characters/animations (v3),P2,keeper light the lamp,
hero,hero_f,clean glass,1,6,characters/animations (v3),P2,keeper clean glass,
hero,hero_f,wind mechanism,1,6,characters/animations (v3),P2,keeper wind mechanism,
hero,hero_f,ring bell,1,6,characters/animations (v3),P2,keeper ring bell,
hero,hero_f,pet animal,1,6,characters/animations (v3),P2,keeper pet animal,
hero,hero_f,lift cat,1,6,characters/animations (v3),P2,keeper lift cat,
hero,hero_f,surprised emote,1,6,characters/animations (v3),P2,keeper surprised emote,
hero,hero_f,happy emote,1,6,characters/animations (v3),P2,keeper happy emote,
hero,hero_f,rowing in boat,4,6,characters/animations (v3),P2,keeper rowing,
npcs,npc_fortuna,speaking glow,1,6,animate-with-text-v3,P2,figurehead eyes glow while speaking,
npcs,npc_sigrid,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_sigrid,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_sigrid,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_liv,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_liv,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_liv,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_hedda,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_hedda,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_hedda,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_ingrid,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_ingrid,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_ingrid,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_einar,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_einar,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_einar,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_knud,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_knud,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_knud,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_magnus,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_magnus,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_magnus,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_olaf,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_olaf,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_olaf,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_tuve,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_tuve,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_tuve,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_halvdan,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_halvdan,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_halvdan,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_stern,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_stern,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_stern,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_tora,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_tora,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_tora,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_ilm,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_ilm,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_ilm,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_karl,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_karl,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_karl,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_solveig,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_solveig,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_solveig,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_bjorn,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_bjorn,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_bjorn,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_margit,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_margit,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_margit,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_benedict,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_benedict,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_benedict,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_helga,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_helga,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_helga,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_erland,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_erland,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_erland,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_kai,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_kai,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_kai,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_nils,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_nils,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_nils,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_freya,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_freya,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_freya,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_palm,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_palm,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_palm,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_nut,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_nut,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_nut,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_rud,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_rud,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_rud,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_sandro,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_sandro,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_sandro,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,npc_grump,walk,4,6,characters/animations (template),P2,walk,
npcs,npc_grump,idle,1,4,characters/animations (template),P2,breathing idle,
npcs,npc_grump,work pose,1,6,characters/animations (v3),P3,signature work action,
npcs,agatha,walk,4,6,characters/animations (template),P3,walk,
npcs,kid_toddler_boy,walk,4,6,characters/animations (template),P3,walk,
npcs,kid_toddler_girl,walk,4,6,characters/animations (template),P3,walk,
npcs,kid_child_boy,walk,4,6,characters/animations (template),P3,walk,
npcs,kid_child_girl,walk,4,6,characters/animations (template),P3,walk,
npcs,villager_1,walk,4,6,characters/animations (template),P3,walk,
npcs,villager_2,walk,4,6,characters/animations (template),P3,walk,
npcs,sailor_rescued,walk,4,6,characters/animations (template),P3,walk,
spirits,ghost_bartholomew,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_pim,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_odile,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_grunwald,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_martin,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_ion,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_jacques,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_twins,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_lotta,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_horn,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_pennington,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_gudmund,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_ulrika,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_dog,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_tobias,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_emmerich,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_nilsen,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_brigi,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_vera,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_grim,float idle,1,6,animate-with-text-v3,P3,ghost floating and flickering,
spirits,ghost_appear,ghost appear,1,8,animate-with-text-v3,P3,ghost appear,
spirits,ghost_dissipate,ghost dissipate,1,8,animate-with-text-v3,P3,ghost dissipate,
spirits,rann_rise,rann rise,1,8,animate-with-text-v3,P3,rann rise,
spirits,rann_speak,rann speak,1,8,animate-with-text-v3,P3,rann speak,
spirits,hmar_drift,hmar drift,1,8,animate-with-text-v3,P3,hmar drift,
spirits,hmar_faces,hmar faces,1,8,animate-with-text-v3,P3,hmar faces,
spirits,daughter_zyb,idle,1,6,animate-with-text-v3,P3,sea spirit idle,
spirits,daughter_pena,idle,1,6,animate-with-text-v3,P3,sea spirit idle,
spirits,daughter_burun,idle,1,6,animate-with-text-v3,P3,sea spirit idle,
spirits,daughter_stuzha,idle,1,6,animate-with-text-v3,P3,sea spirit idle,
spirits,daughter_tish,idle,1,6,animate-with-text-v3,P3,sea spirit idle,
spirits,daughter_svetla,idle,1,6,animate-with-text-v3,P3,sea spirit idle,
spirits,daughter_priliva,idle,1,6,animate-with-text-v3,P3,sea spirit idle,
spirits,daughter_hmar,idle,1,6,animate-with-text-v3,P3,sea spirit idle,
animals,chicken,walk,4,6,characters/animations (template),P2,walk,
animals,chicken,eat/idle,1,4,characters/animations (v3),P2,eat grass / peck,
animals,duck,walk,4,6,characters/animations (template),P2,walk,
animals,duck,eat/idle,1,4,characters/animations (v3),P2,eat grass / peck,
animals,eider,walk,4,6,characters/animations (template),P2,walk,
animals,eider,eat/idle,1,4,characters/animations (v3),P2,eat grass / peck,
animals,sheep,walk,4,6,characters/animations (template),P2,walk,
animals,sheep,eat/idle,1,4,characters/animations (v3),P2,eat grass / peck,
animals,goat,walk,4,6,characters/animations (template),P2,walk,
animals,goat,eat/idle,1,4,characters/animations (v3),P2,eat grass / peck,
animals,cow,walk,4,6,characters/animations (template),P2,walk,
animals,cow,eat/idle,1,4,characters/animations (v3),P2,eat grass / peck,
animals,pony,walk,4,6,characters/animations (template),P2,walk,
animals,pony,eat/idle,1,4,characters/animations (v3),P2,eat grass / peck,
animals,cat_wick,walk,4,6,characters/animations (template),P2,cat walk,
animals,cat_wick,sleep,1,4,characters/animations (v3),P2,cat sleeping,
animals,seal,flop,1,6,animate-with-text-v3,P3,flop,
animals,gull,fly,1,6,animate-with-text-v3,P3,fly,
animals,puffin,fly,1,6,animate-with-text-v3,P3,fly,
animals,raven,circle,1,6,animate-with-text-v3,P3,circle,
animals,whale,surface and dive,1,6,animate-with-text-v3,P3,surface and dive,
animals,orca,surface,1,6,animate-with-text-v3,P3,surface,
animals,herring_school,shimmer,1,6,animate-with-text-v3,P3,shimmer,
animals,fish_shadow,swim,1,6,animate-with-text-v3,P3,swim,
enemies,crab,move,4,6,characters/animations (template),P3,move,
enemies,crab,attack,1,6,animate-with-text-v3,P3,attack,
enemies,crab,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,jellyfish,move,1,6,animate-with-text-v3,P3,move,
enemies,jellyfish,attack,1,6,animate-with-text-v3,P3,attack,
enemies,jellyfish,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,urchin,move,1,6,animate-with-text-v3,P3,move,
enemies,urchin,attack,1,6,animate-with-text-v3,P3,attack,
enemies,urchin,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,moray,move,4,6,characters/animations (template),P3,move,
enemies,moray,attack,1,6,animate-with-text-v3,P3,attack,
enemies,moray,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,bullhead,move,1,6,animate-with-text-v3,P3,move,
enemies,bullhead,attack,1,6,animate-with-text-v3,P3,attack,
enemies,bullhead,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,seal_bully,move,4,6,characters/animations (template),P3,move,
enemies,seal_bully,attack,1,6,animate-with-text-v3,P3,attack,
enemies,seal_bully,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,drowned,move,4,6,characters/animations (template),P3,move,
enemies,drowned,attack,1,6,animate-with-text-v3,P3,attack,
enemies,drowned,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,drowned_citizen,move,4,6,characters/animations (template),P3,move,
enemies,drowned_citizen,attack,1,6,animate-with-text-v3,P3,attack,
enemies,drowned_citizen,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,hmarnik,move,1,6,animate-with-text-v3,P3,move,
enemies,hmarnik,attack,1,6,animate-with-text-v3,P3,attack,
enemies,hmarnik,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,helmet_crayfish,move,4,6,characters/animations (template),P3,move,
enemies,helmet_crayfish,attack,1,6,animate-with-text-v3,P3,attack,
enemies,helmet_crayfish,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,octopus,move,4,6,characters/animations (template),P3,move,
enemies,octopus,attack,1,6,animate-with-text-v3,P3,attack,
enemies,octopus,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,electric_ray,move,1,6,animate-with-text-v3,P3,move,
enemies,electric_ray,attack,1,6,animate-with-text-v3,P3,attack,
enemies,electric_ray,death,1,6,animate-with-text-v3,P3,death / dissolve,
enemies,net_trap,move,1,6,animate-with-text-v3,P3,move,
enemies,net_trap,attack,1,6,animate-with-text-v3,P3,attack,
enemies,net_trap,death,1,6,animate-with-text-v3,P3,death / dissolve,
